census,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,tot,population
170313007001005,4744.0,4055.0,3860.0,2506.0,1483.0,995.0,679.0,581.0,494.0,700.0,987.0,2518.0,23602.0,111.0
170310508001010,6568.0,5220.0,4519.0,2423.0,1456.0,664.0,512.0,427.0,452.0,651.0,1540.0,3890.0,28322.0,65.0
170311104002023,5422.0,4895.0,4102.0,2617.0,1309.0,939.0,527.0,516.0,526.0,603.0,1091.0,2764.0,25311.0,53.0
170312516003009,9380.0,9274.0,6094.0,3628.0,2568.0,970.0,787.0,837.0,732.0,1241.0,3230.0,7414.0,46155.0,103.0
170311402003020,7046.0,5487.0,5049.0,3021.0,1588.0,848.0,702.0,623.0,664.0,842.0,1772.0,4389.0,32031.0,91.0
170318399005004,7041.0,5880.0,3982.0,2284.0,1265.0,666.0,677.0,601.0,535.0,1043.0,2452.0,6203.0,32629.0,79.0
170311711002019,5129.0,4414.0,4121.0,2315.0,1228.0,1596.0,471.0,406.0,394.0,550.0,984.0,2656.0,24264.0,53.0
170318381001008,9011.0,7422.0,6447.0,3364.0,2319.0,941.0,671.0,681.0,683.0,768.0,1552.0,5644.0,39503.0,57.0
170315305033053,2513.0,2552.0,1765.0,1033.0,742.0,332.0,250.0,234.0,227.0,372.0,948.0,2355.0,13323.0,36.0
170311704001007,4096.0,3338.0,2544.0,1358.0,1042.0,462.0,383.0,384.0,332.0,424.0,1290.0,3204.0,18857.0,41.0
170315103003000,35747.0,30374.0,26478.0,15421.0,9499.0,6171.0,3897.0,3628.0,4051.0,7077.0,12186.0,25331.0,179860.0,315.0
170317005015005,2585.0,2314.0,2256.0,1101.0,601.0,477.0,291.0,268.0,226.0,307.0,578.0,1599.0,12603.0,39.0
170311202001010,7896.0,7011.0,4997.0,2477.0,1810.0,1407.0,1175.0,1237.0,1450.0,1875.0,3546.0,8900.0,43781.0,152.0
170311303003019,11335.0,9203.0,7844.0,4838.0,2599.0,1197.0,986.0,881.0,1029.0,1129.0,3249.0,7004.0,51294.0,146.0
170317003024006,1731.0,1609.0,1372.0,1015.0,325.0,203.0,203.0,194.0,228.0,183.0,442.0,723.0,8228.0,25.0
170314307001006,193.0,193.0,156.0,82.0,40.0,22.0,15.0,14.0,17.0,21.0,50.0,215.0,1018.0,65.0
170316713002006,1580.0,1393.0,1413.0,858.0,470.0,254.0,130.0,131.0,126.0,170.0,391.0,685.0,7601.0,33.0
170312205001011,4954.0,3768.0,3566.0,2104.0,1066.0,551.0,377.0,291.0,318.0,409.0,748.0,2017.0,20169.0,28.0
170318310001015,3189.0,3125.0,2109.0,754.0,493.0,278.0,257.0,282.0,374.0,473.0,1170.0,3457.0,15961.0,20.0
170318330002044,16546.0,13923.0,10954.0,4344.0,1879.0,928.0,810.0,754.0,780.0,975.0,2462.0,11283.0,65638.0,87.0
170311003005013,2024.0,1733.0,1485.0,768.0,460.0,240.0,193.0,175.0,171.0,228.0,563.0,1571.0,9611.0,13.0
170315302001007,10504.0,8660.0,4592.0,2243.0,1883.0,520.0,492.0,413.0,639.0,1822.0,3610.0,9334.0,44712.0,57.0
170311105011014,5587.0,5171.0,3242.0,2066.0,1177.0,606.0,571.0,514.0,543.0,1116.0,2189.0,5373.0,28155.0,67.0
170318418002003,2936.0,2197.0,2131.0,1226.0,855.0,414.0,235.0,221.0,154.0,260.0,742.0,1715.0,13086.0,57.0
170315609004004,4024.0,3235.0,2845.0,1574.0,769.0,473.0,409.0,349.0,391.0,472.0,1144.0,2592.0,18277.0,53.0
170318387002019,2053.0,1793.0,1792.0,615.0,497.0,359.0,249.0,233.0,102.0,253.0,341.0,890.0,9177.0,7.0
170310208012013,4765.0,3822.0,3417.0,1929.0,1175.0,670.0,348.0,337.0,353.0,503.0,1088.0,3141.0,21548.0,49.0
170310801001004,31167.0,25900.0,18695.0,8647.0,5395.0,3609.0,3476.0,3547.0,4159.0,5940.0,14291.0,29270.0,154096.0,236.0
170310706002007,3567.0,2963.0,2155.0,1152.0,764.0,331.0,272.0,263.0,241.0,300.0,831.0,2650.0,15489.0,42.0
170311105013006,1901.0,1709.0,1081.0,582.0,314.0,156.0,152.0,137.0,142.0,245.0,671.0,1874.0,8964.0,21.0
170318378001037,4424.0,3865.0,3329.0,2193.0,1259.0,690.0,396.0,421.0,422.0,507.0,1018.0,4353.0,22877.0,60.0
170318321003008,2760.0,2626.0,2175.0,1510.0,1080.0,940.0,836.0,719.0,871.0,703.0,885.0,1832.0,16937.0,37.0
170310203022005,6290.0,5203.0,4344.0,2671.0,1493.0,676.0,588.0,461.0,521.0,613.0,1662.0,4040.0,28562.0,58.0
170314911005010,3094.0,2897.0,1911.0,1070.0,715.0,328.0,290.0,302.0,259.0,402.0,1077.0,2991.0,15336.0,35.0
170315603002015,4834.0,3817.0,3364.0,1792.0,955.0,491.0,402.0,345.0,372.0,482.0,1380.0,2878.0,21112.0,59.0
170318343006029,6832.0,6125.0,4132.0,2725.0,1640.0,728.0,581.0,561.0,516.0,892.0,2112.0,5387.0,32231.0,62.0
