census,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,tot,population
170311903004023,4034.0,3258.0,2403.0,2767.0,3249.0,8104.0,8677.0,3339.0,2680.0,2050.0,4135.0,4921.0,49617.0,27.0
170318305001004,10806.0,13083.0,9134.0,8724.0,9507.0,13402.0,17600.0,17935.0,16713.0,8543.0,6814.0,17407.0,149668.0,100.0
170312909001009,3390.0,4378.0,6290.0,4086.0,5120.0,5701.0,8047.0,7217.0,5864.0,3374.0,6223.0,7157.0,66847.0,45.0
170311303002002,8025.0,9497.0,7249.0,7244.0,9517.0,20162.0,16987.0,10615.0,6443.0,7301.0,11021.0,10401.0,124462.0,32.0
170312210001007,7515.0,7043.0,5858.0,4833.0,6870.0,10053.0,11472.0,11700.0,4525.0,5134.0,7591.0,9568.0,92162.0,89.0
170312505006013,5335.0,4005.0,4777.0,3425.0,5730.0,8953.0,10066.0,7345.0,4969.0,4574.0,7521.0,7521.0,74221.0,24.0
170315203002018,1704.0,1390.0,1119.0,1217.0,2602.0,4894.0,4297.0,2303.0,1223.0,1408.0,2379.0,2814.0,27350.0,38.0
170312222002013,31942.0,40767.0,30579.0,29528.0,43869.0,66140.0,68168.0,63153.0,43190.0,33271.0,36456.0,46600.0,533663.0,140.0
170317404003010,19816.0,19192.0,16861.0,13378.0,25300.0,33385.0,48078.0,46622.0,21997.0,16726.0,18913.0,32793.0,313061.0,83.0
170310315021005,20946.0,21315.0,16825.0,15837.0,27748.0,42474.0,45650.0,25961.0,20408.0,19356.0,25072.0,28369.0,309961.0,146.0
170314605002006,12009.0,10639.0,9378.0,8358.0,11889.0,17015.0,17855.0,13545.0,9305.0,9843.0,15243.0,21423.0,156502.0,44.0
170318374001014,8934.0,12105.0,11866.0,12688.0,11514.0,15068.0,19414.0,20890.0,22761.0,20590.0,29642.0,25167.0,210639.0,97.0
170311007001008,7439.0,7243.0,11472.0,10343.0,14965.0,22961.0,19894.0,20218.0,10632.0,8973.0,22035.0,18809.0,174984.0,42.0
170311710004002,8843.0,9945.0,5758.0,9862.0,12749.0,19769.0,22208.0,14577.0,9236.0,10837.0,14080.0,16194.0,154058.0,55.0
170313008001012,22979.0,26515.0,18185.0,18425.0,38986.0,27224.0,46357.0,41581.0,38987.0,32430.0,31061.0,38723.0,381453.0,152.0
170310710002006,20550.0,22286.0,20094.0,24169.0,26282.0,39271.0,39641.0,39358.0,24553.0,26216.0,32898.0,36578.0,351896.0,95.0
170318369002006,11077.0,15382.0,15285.0,12059.0,16183.0,26480.0,27034.0,24023.0,24119.0,15777.0,17364.0,16503.0,221286.0,251.0
170316603011010,12024.0,11385.0,11407.0,11934.0,14492.0,19753.0,24208.0,21391.0,15022.0,13782.0,15601.0,17985.0,188984.0,142.0
170310202003031,9934.0,9035.0,11959.0,11665.0,14260.0,24555.0,24176.0,12852.0,10567.0,10763.0,16862.0,16475.0,173103.0,61.0
